PolicyID,CustomerID,AgentID,PolicyTypeID,StartDate,EndDate,PremiumAmount,PolicyStatus,LocationID,TransactionDate
101,30,14,1,2021-01-15,2026-01-15,1200,Active,5,2021-01-15
102,17,6,2,2021-05-20,2026-05-20,800,Inactive,13,2021-05-20
103,2,9,1,2022-03-02,2027-03-02,1000,Active,3,2022-03-02
104,38,1,3,2022-01-10,2027-01-10,1500,NA,14,2022-01-10
105,16,10,1,2023-02-28,2028-02-28,2000,Yes,6,2023-02-28
106,23,15,1,2020-12-25,2025-12-25,1000,Active,1,2020-12-25
107,50,7,2,2021-09-10,2026-09-10,900,No,15,2021-09-10
108,1,4,2,2022-11-30,2027-11-30,1100,Active,10,2022-11-30
109,48,12,1,2022-08-15,2027-08-15,1300,Active,8,2022-08-15
110,13,11,4,2023-07-01,2028-07-01,1800,No,2,2023-07-01
111,29,5,1,2021-06-15,2026-06-15,1400,Yes,9,2021-06-15
112,6,8,3,2022-04-20,2027-04-20,1600,Yes,11,2022-04-20
113,42,14,2,2023-03-15,2028-03-15,1100,No,5,2023-03-15
114,18,7,1,2022-02-01,2027-02-01,1200,Active,13,2022-02-01
115,35,12,4,2021-12-10,2026-12-10,1700,No,14,2021-12-10
116,8,2,2,2023-10-05,2028-10-05,1900,Yes,12,2023-10-05
117,7,10,1,2021-11-30,2026-11-30,1000,Active,2,2021-11-30
118,44,1,3,2021-10-15,2026-10-15,1500,No,6,2021-10-15
119,25,3,2,2022-09-20,2027-09-20,1200,Yes,13,2022-09-20
120,36,6,1,2023-08-05,2028-08-05,1600,Yes,9,2023-08-05
121,31,13,4,2022-07-01,2027-07-01,2000,No,5,2022-07-01
122,24,8,1,2022-06-15,2027-06-15,1400,Yes,7,2022-06-15
123,9,14,2,2023-05-20,2028-05-20,1200,Active,10,2023-05-20
124,11,4,3,2022-04-25,2027-04-25,1600,Yes,11,2022-04-25
125,28,15,1,2023-03-10,2028-03-10,1300,No,9,2023-03-10
126,26,3,2,2022-02-15,2027-02-15,1100,Yes,1,2022-02-15
127,47,11,4,2021-01-30,2026-01-30,1800,No,8,2021-01-30
128,3,8,1,2020-12-25,2025-12-25,900,Yes,10,2020-12-25
129,46,9,3,2022-11-10,2027-11-10,1500,Yes,4,2022-11-10
130,32,10,2,2022-10-15,2027-10-15,1300,Active,12,2022-10-15
131,15,5,1,2023-09-30,2028-09-30,1200,Yes,1,2023-09-30
132,41,14,2,2023-09-15,2028-09-15,1100,No,6,2023-09-15
133,34,7,3,2023-08-30,2028-08-30,1600,Yes,15,2023-08-30
134,37,12,4,2023-08-15,2028-08-15,1900,No,14,2023-08-15
135,4,2,1,2023-08-15,2028-08-15,1400,Yes,9,2023-08-15
136,22,6,2,2023-07-30,2028-07-30,1200,Yes,10,2023-07-30
137,45,10,3,2023-07-15,2028-07-15,1500,No,7,2023-07-15
138,33,1,1,2023-06-30,2028-06-30,1300,Yes,2,2023-06-30
139,5,8,2,2023-06-15,2028-06-15,1100,Yes,8,2023-06-15
140,16,7,4,2023-05-30,2028-05-30,1700,No,3,2023-05-30
141,38,15,1,2023-05-15,2028-05-15,1400,Yes,6,2023-05-15
142,21,11,3,2023-04-30,2028-04-30,1600,Yes,1,2023-04-30
144,20,2,2,2023-04-15,2028-04-15,1200,No,4,2023-04-15
145,10,1,1,2023-03-31,2028-03-31,1400,Yes,7,2023-03-31
146,49,3,2,2023-03-15,2028-03-15,1100,Yes,15,2023-03-15
147,44,9,4,2023-02-28,2028-02-28,1800,No,9,2023-02-28
148,40,14,1,2023-02-15,2028-02-15,1200,Yes,4,2023-02-15
149,19,8,3,2023-01-31,2028-01-31,1500,Yes,1,2023-01-31
150,39,12,2,2023-01-15,2028-01-15,1300,No,6,2023-01-15
151,9,5,1,2022-12-31,2027-12-31,1200,Yes,10,2022-12-31
152,33,14,2,2022-12-15,2027-12-15,1100,No,6,2022-12-15
153,26,7,4,2022-11-30,2027-11-30,1600,Yes,11,2022-11-30
154,11,10,1,2022-11-15,2027-11-15,1400,Yes,2,2022-11-15
155,48,13,3,2022-10-31,2027-10-31,1300,Yes,8,2022-10-31
156,27,6,2,2022-10-15,2027-10-15,1100,Yes,15,2022-10-15
157,7,1,4,2022-09-30,2027-09-30,1500,No,3,2022-09-30
158,46,15,1,2022-09-15,2027-09-15,1200,Yes,9,2022-09-15
159,23,3,2,2022-08-31,2027-08-31,1300,No,7,2022-08-31
160,35,14,3,2022-08-15,2027-08-15,1600,Yes,11,2022-08-15
161,14,7,1,2022-07-31,2027-07-31,1400,Yes,2,2022-07-31
162,38,12,2,2022-07-15,2027-07-15,1100,Yes,10,2022-07-15
163,18,5,4,2022-06-30,2027-06-30,1900,No,5,2022-06-30
164,29,6,1,2022-06-15,2027-06-15,1400,Yes,7,2022-06-15
165,42,13,3,2022-05-31,2027-05-31,1600,Yes,14,2022-05-31
166,16,8,2,2022-05-15,2027-05-15,1200,No,8,2022-05-15
167,32,1,1,2022-04-30,2027-04-30,1400,Yes,3,2022-04-30
168,20,9,4,2022-04-15,2027-04-15,1800,No,1,2022-04-15
169,5,14,1,2022-03-31,2027-03-31,1200,Yes,12,2022-03-31
170,25,2,2,2022-03-15,2027-03-15,1100,Yes,4,2022-03-15
171,12,11,3,2022-02-28,2027-02-28,1600,Yes,15,2022-02-28
172,41,3,4,2022-02-15,2027-02-15,1900,No,6,2022-02-15
173,17,10,1,2022-01-31,2027-01-31,1400,Yes,9,2022-01-31
174,37,14,2,2022-01-15,2027-01-15,1100,Yes,13,2022-01-15
175,3,8,3,2021-12-31,2026-12-31,1600,Yes,2,2021-12-31
176,45,12,2,2021-12-15,2026-12-15,1200,No,10,2021-12-15
177,22,5,1,2021-11-30,2026-11-30,1400,Yes,7,2021-11-30
178,9,15,4,2021-11-15,2026-11-15,1800,No,4,2021-11-15
179,28,2,1,2021-10-31,2026-10-31,1200,Yes,8,2021-10-31
180,36,7,2,2021-10-15,2026-10-15,1100,Yes,14,2021-10-15
